#{"t_start": 1749386233.312694, "env_id": "CartPole-v1"}
r,l,t
26.0,26,3.035585
39.0,39,3.039601
16.0,16,3.041607
53.0,53,3.06812
27.0,27,3.099408
16.0,16,3.107426
18.0,18,3.11874
16.0,16,3.124747
18.0,18,3.146843
11.0,11,3.152859
11.0,11,3.158874
13.0,13,3.161885
26.0,26,3.177857
16.0,16,3.193681
43.0,43,3.226959
15.0,15,3.236546
13.0,13,3.251092
10.0,10,3.251092
22.0,22,3.26784
12.0,12,3.26784
21.0,21,3.292912
17.0,17,3.300637
17.0,17,3.312993
27.0,27,3.33672
70.0,70,3.393951
47.0,47,3.431747
24.0,24,3.450496
17.0,17,3.465511
20.0,20,3.488943
14.0,14,3.500978
14.0,14,3.512765
14.0,14,3.520531
20.0,20,3.534357
11.0,11,3.550074
18.0,18,3.550074
12.0,12,3.567838
23.0,23,3.581607
25.0,25,3.605553
12.0,12,3.613914
16.0,16,3.627941
36.0,36,3.661877
15.0,15,3.661877
17.0,17,3.682659
16.0,16,3.692676
64.0,64,3.767506
34.0,34,3.79746
14.0,14,3.807151
25.0,25,3.815278
13.0,13,3.848681
11.0,11,3.861707
14.0,14,3.872371
18.0,18,3.886042
10.0,10,3.897396
23.0,23,3.911163
17.0,17,3.923324
11.0,11,3.927073
27.0,27,3.955696
13.0,13,3.958711
16.0,16,3.958711
19.0,19,3.990755
17.0,17,4.0064
15.0,15,4.019123
13.0,13,4.032217
40.0,40,4.053871
13.0,13,4.077896
30.0,30,4.100593
17.0,17,4.108558
18.0,18,4.116495
33.0,33,4.14808
21.0,21,4.163977
15.0,15,4.177782
25.0,25,4.186666
16.0,16,4.210031
50.0,50,4.243181
26.0,26,4.261844
13.0,13,4.269857
19.0,19,4.27545
12.0,12,4.290523
42.0,42,4.322036
24.0,24,4.339135
26.0,26,4.35416
26.0,26,4.377265
10.0,10,4.382976
12.0,12,4.396295
48.0,48,4.42815
13.0,13,4.42815
15.0,15,4.443874
42.0,42,4.475692
11.0,11,4.475692
15.0,15,4.491694
13.0,13,4.507757
25.0,25,4.523686
15.0,15,4.553996
15.0,15,4.56302
30.0,30,4.575553
26.0,26,4.600934
19.0,19,4.620742
29.0,29,4.638459
12.0,12,4.642474
42.0,42,4.670246
15.0,15,4.685952
30.0,30,4.701621
24.0,24,4.720783
14.0,14,4.726794
46.0,46,4.769012
15.0,15,4.77905
30.0,30,4.796635
15.0,15,4.812497
23.0,23,4.835109
17.0,17,4.849812
14.0,14,4.857841
15.0,15,4.862288
21.0,21,4.893768
17.0,17,4.907224
16.0,16,4.916961
19.0,19,4.932613
15.0,15,4.948413
17.0,17,4.948413
14.0,14,4.964214
69.0,69,4.995814
10.0,10,5.011499
23.0,23,5.035452
30.0,30,5.059006
20.0,20,5.059006
23.0,23,5.093927
25.0,25,5.10769
35.0,35,5.130164
16.0,16,5.139176
49.0,49,5.176403
14.0,14,5.18442
30.0,30,5.202186
19.0,19,5.211334
13.0,13,5.217983
29.0,29,5.247695
25.0,25,5.265203
23.0,23,5.292276
62.0,62,5.340454
16.0,16,5.344213
23.0,23,5.368167
36.0,36,5.391903
21.0,21,5.401111
41.0,41,5.43291
16.0,16,5.449865
36.0,36,5.475002
9.0,9,5.490705
29.0,29,5.51231
9.0,9,5.518321
17.0,17,5.530091
38.0,38,5.560518
56.0,56,5.591661
15.0,15,5.607411
14.0,14,5.607411
12.0,12,5.623409
13.0,13,5.63949
46.0,46,5.669384
28.0,28,5.687048
22.0,22,5.705372
14.0,14,5.713383
42.0,42,5.740634
42.0,42,5.770746
21.0,21,5.792051
16.0,16,5.801779
21.0,21,5.816172
24.0,24,5.832628
42.0,42,5.88124
21.0,21,5.900987
16.0,16,5.913218
17.0,17,5.933826
52.0,52,6.006387
15.0,15,6.018146
13.0,13,6.035453
21.0,21,6.057535
16.0,16,6.079598
14.0,14,6.087625
57.0,57,6.144515
21.0,21,6.16017
12.0,12,6.183921
10.0,10,6.192323
17.0,17,6.208758
13.0,13,6.216931
72.0,72,6.274276
22.0,22,6.282055
11.0,11,6.29803
15.0,15,6.308072
23.0,23,6.336448
18.0,18,6.346824
35.0,35,6.381431
30.0,30,6.410327
23.0,23,6.431732
24.0,24,6.452058
14.0,14,6.465637
11.0,11,6.471084
13.0,13,6.498296
11.0,11,6.506433
9.0,9,6.514726
30.0,30,6.531506
12.0,12,6.553849
15.0,15,6.559882
16.0,16,6.575172
11.0,11,6.59404
21.0,21,6.613236
11.0,11,6.623256
30.0,30,6.641908
22.0,22,6.656868
15.0,15,6.680596
15.0,15,6.688656
17.0,17,6.688656
15.0,15,6.704662
14.0,14,6.726642
32.0,32,6.752577
25.0,25,6.775265
19.0,19,6.788857
10.0,10,6.800879
18.0,18,6.814582
18.0,18,6.817595
21.0,21,6.833346
15.0,15,6.849803
33.0,33,6.86515
11.0,11,6.880898
16.0,16,6.882874
12.0,12,6.897001
13.0,13,6.912851
57.0,57,6.960066
21.0,21,6.979283
45.0,45,7.025984
16.0,16,7.042072
25.0,25,7.060177
16.0,16,7.078925
12.0,12,7.091417
39.0,39,7.126335
11.0,11,7.136889
31.0,31,7.161145
13.0,13,7.17662
13.0,13,7.184665
22.0,22,7.193074
13.0,13,7.211689
16.0,16,7.230069
24.0,24,7.2555
14.0,14,7.264595
