#{"t_start": 1749381240.964835, "env_id": "CartPole-v1"}
r,l,t
29.0,29,1.981714
15.0,15,1.999558
17.0,17,2.013263
15.0,15,2.013263
29.0,29,2.02917
25.0,25,2.045113
18.0,18,2.045113
16.0,16,2.067035
12.0,12,2.072522
14.0,14,2.081857
23.0,23,2.095304
16.0,16,2.103389
12.0,12,2.110368
25.0,25,2.123499
11.0,11,2.130469
16.0,16,2.138469
17.0,17,2.14857
26.0,26,2.155476
14.0,14,2.155476
24.0,24,2.180245
17.0,17,2.192438
11.0,11,2.199396
12.0,12,2.206882
16.0,16,2.216485
12.0,12,2.222496
21.0,21,2.234685
23.0,23,2.246342
15.0,15,2.25409
17.0,17,2.256465
16.0,16,2.271817
28.0,28,2.287672
18.0,18,2.289124
14.0,14,2.289124
37.0,37,2.3208
19.0,19,2.332753
16.0,16,2.336498
15.0,15,2.336498
21.0,21,2.363993
25.0,25,2.367998
19.0,19,2.383786
27.0,27,2.39954
23.0,23,2.39954
15.0,15,2.415411
37.0,37,2.43667
45.0,45,2.446691
23.0,23,2.469966
25.0,25,2.481729
15.0,15,2.487734
23.0,23,2.493479
18.0,18,2.509378
25.0,25,2.546372
49.0,49,2.575254
15.0,15,2.582768
19.0,19,2.588515
18.0,18,2.588515
11.0,11,2.604261
14.0,14,2.604261
22.0,22,2.629212
23.0,23,2.642353
15.0,15,2.650351
30.0,30,2.667936
13.0,13,2.674936
25.0,25,2.692037
11.0,11,2.700034
12.0,12,2.708033
25.0,25,2.722069
50.0,50,2.754842
28.0,28,2.770642
15.0,15,2.778655
31.0,31,2.794425
19.0,19,2.804184
13.0,13,2.804184
13.0,13,2.804184
14.0,14,2.817838
37.0,37,2.833916
23.0,23,2.854769
14.0,14,2.861265
28.0,28,2.876718
12.0,12,2.882718
11.0,11,2.887718
13.0,13,2.894796
10.0,10,2.900795
25.0,25,2.913798
20.0,20,2.922809
12.0,12,2.922809
25.0,25,2.938922
16.0,16,2.938922
28.0,28,2.966612
28.0,28,2.980618
18.0,18,2.986364
19.0,19,2.986364
9.0,9,3.002171
34.0,34,3.018173
11.0,11,3.018173
30.0,30,3.035546
13.0,13,3.035546
16.0,16,3.0511
29.0,29,3.067062
32.0,32,3.098553
49.0,49,4.261637
20.0,20,4.264642
49.0,49,4.300381
50.0,50,4.315268
47.0,47,4.347997
23.0,23,4.357484
18.0,18,4.366235
27.0,27,4.377729
44.0,44,4.398901
20.0,20,4.408924
36.0,36,4.422434
18.0,18,4.422434
47.0,47,4.454119
12.0,12,4.462135
36.0,36,4.479914
53.0,53,4.501528
13.0,13,4.501528
38.0,38,4.533023
61.0,61,4.563971
24.0,24,4.577465
26.0,26,4.589478
16.0,16,4.595224
26.0,26,4.595224
21.0,21,4.611275
31.0,31,4.634947
71.0,71,4.672747
27.0,27,4.688199
15.0,15,4.696207
36.0,36,4.715706
15.0,15,4.72119
23.0,23,4.750879
23.0,23,4.752623
14.0,14,4.770428
16.0,16,4.778178
22.0,22,4.789669
52.0,52,4.818772
30.0,30,4.83505
18.0,18,4.842535
13.0,13,4.854264
11.0,11,4.860622
27.0,27,4.873717
31.0,31,4.888716
19.0,19,4.900029
20.0,20,4.911869
34.0,34,4.922869
26.0,26,4.94069
42.0,42,4.96347
22.0,22,4.974512
33.0,33,4.986362
24.0,24,5.006018
18.0,18,5.015246
22.0,22,5.027478
29.0,29,5.040973
54.0,54,5.068611
12.0,12,5.075605
31.0,31,5.09264
19.0,19,5.101623
17.0,17,5.109622
26.0,26,5.123732
22.0,22,5.135728
44.0,44,5.155727
16.0,16,5.163408
39.0,39,5.171163
26.0,26,5.194759
25.0,25,5.208515
35.0,35,5.226274
31.0,31,5.246084
25.0,25,5.259906
18.0,18,5.264928
26.0,26,5.296921
17.0,17,5.30493
42.0,42,5.325001
