#{"t_start": 1749544830.3053637, "env_id": "Pendulum-v1"}
r,l,t
-1407.754293,200,2.349908
-905.456975,200,2.46462
-1063.768767,200,2.570915
-1080.928735,200,2.681954
-1610.500739,200,2.7999
-1139.455272,200,2.944284
-980.040082,200,3.0626
-1502.090733,200,3.175159
-1528.277542,200,3.282344
-1686.569085,200,3.389276
-1164.730104,200,4.747864
-877.135224,200,4.859579
-970.951664,200,4.969932
-1217.960124,200,5.083762
-1477.23747,200,5.194329
-1570.017877,200,5.307838
-1072.202109,200,5.424964
-1074.769492,200,5.534238
-1460.019892,200,5.64101
-1645.269687,200,5.761781
-1906.489881,200,7.035534
-1173.666505,200,7.147532
-1284.087868,200,7.249899
-1414.162412,200,7.339051
-1058.899388,200,7.450763
-1256.126713,200,7.562065
-1051.459312,200,7.656816
-1271.923684,200,7.779211
-1040.134142,200,7.880628
-1196.021787,200,7.99378
-923.099488,200,9.369233
-1065.505654,200,9.475404
-1053.926157,200,9.575729
-1689.593928,200,9.695148
-1817.021812,200,9.829204
-866.874352,200,9.939048
-1290.258975,200,10.058532
-1425.184664,200,10.154546
-1210.335825,200,10.282148
-1459.733975,200,10.393869
-953.515947,200,11.699959
-1304.333453,200,11.811722
-919.249879,200,11.923341
-1770.079355,200,12.034818
-859.254922,200,12.144558
-1476.524156,200,12.263836
-997.484408,200,12.383843
-1897.877744,200,12.479394
-1665.393134,200,12.597041
-1010.39904,200,12.712584
-1652.157833,200,12.797596
-1564.068222,200,12.870208
-1658.070713,200,12.964244
-857.388198,200,13.028196
-1044.606761,200,13.113697
-1821.115151,200,13.231026
-1597.18969,200,14.578902
-1678.987835,200,14.68988
-1439.996592,200,14.810931
-1566.869468,200,14.927207
-1105.350773,200,15.047009
-1403.900716,200,15.160238
-1075.401566,200,15.308997
-1287.626527,200,15.418112
-982.521902,200,15.5296
-1606.391272,200,15.649193
-1048.020333,200,17.06385
-1147.774606,200,17.184923
-1632.115728,200,17.31397
-1178.436172,200,17.453124
-1277.534228,200,17.563936
-1063.79125,200,17.69941
-1785.186689,200,17.829829
-1213.352008,200,17.949347
-1814.796445,200,18.11256
-965.848772,200,18.296746
-1877.500058,200,20.179282
-997.970789,200,20.336853
-1075.772869,200,20.515673
-957.222629,200,20.680919
-1786.406816,200,20.869808
-1067.493727,200,21.045802
-1169.202401,200,21.200892
-1839.382661,200,21.353254
-862.060168,200,21.49807
-1311.329897,200,21.655921
-1629.695996,200,23.411125
-1637.223788,200,23.548851
-1226.555711,200,23.696067
-851.504655,200,23.819077
-1281.063521,200,23.972234
-1736.185032,200,24.105115
-1043.015059,200,24.23263
-1728.240918,200,24.359453
-1070.561375,200,24.504942
-1530.444283,200,24.638572
-1365.978958,200,24.78656
-1769.123544,200,26.408561
-1305.861226,200,26.544388
-1104.203179,200,26.688137
-880.519858,200,26.799901
-961.342873,200,26.939633
-1353.35858,200,27.07782
-1452.959458,200,27.195184
-1070.632708,200,27.31786
-754.607951,200,27.417838
-1158.710361,200,27.551544
-1624.395647,200,27.629092
-1494.428475,200,27.72451
-1204.9014,200,27.820775
-1068.947706,200,27.948645
-884.568912,200,28.083647
-1459.337267,200,29.65935
-870.150311,200,29.795349
-1304.500696,200,29.922908
-1446.819612,200,30.05051
-1387.17047,200,30.177808
-1184.183126,200,30.320888
-1421.940949,200,30.44954
-910.234903,200,30.585362
-989.384047,200,30.713417
-1459.195191,200,30.841099
-1096.644584,200,32.391078
-1083.50767,200,32.525107
-1088.511394,200,32.651937
-1080.385215,200,32.777643
-1071.136526,200,32.904078
-1011.585937,200,33.042187
-1149.767883,200,33.165232
-1698.479702,200,33.309174
-1333.899895,200,33.436095
-1344.581472,200,33.559426
-1632.166824,200,35.076608
-1798.503449,200,35.192739
-1084.784567,200,35.309867
-1729.609145,200,35.450197
-1320.808951,200,35.581891
-850.375463,200,35.764913
-1067.823917,200,35.885619
-972.499541,200,36.006567
-1580.284545,200,36.139672
-1423.061703,200,36.272976
-1691.570631,200,36.403247
-1332.254665,200,37.954769
-1051.763828,200,38.103213
-1478.249542,200,38.24173
-1316.129954,200,38.366806
-974.491019,200,38.510353
-923.488667,200,38.643571
-760.696052,200,38.78013
-966.57799,200,38.915773
-1724.224955,200,39.061509
-1182.862012,200,39.192483
-1332.485349,200,40.737382
-863.898692,200,40.858719
-1846.683301,200,40.980249
-983.488753,200,41.115183
-995.431128,200,41.243179
-1298.423011,200,41.36991
-869.684538,200,41.499918
-769.913352,200,41.592802
