#{"t_start": 1749225361.1359932, "env_id": "None"}
r,l,t
12985.620544,2007,4.073972
6614.091919,2007,6.332792
3671.948914,2007,9.09245
1783.420654,2007,11.453055
255.319336,2007,14.969188
255.319336,2007,16.076037
255.319336,2007,17.170887
255.319336,2007,18.256035
255.319336,2007,19.350326
1161.880127,2007,21.610264
1178.440552,2007,23.870122
1568.05011,2007,26.237729
1417.559448,2007,28.751395
378.789307,2007,32.205551
378.789307,2007,33.290529
378.789307,2007,34.37906
378.789307,2007,35.452771
378.789307,2007,36.530294
2449.72998,2007,39.050488
1191.889526,2007,41.668102
2076.559509,2007,44.297185
2173.950928,2007,46.903749
1766.23938,2007,50.756503
1766.23938,2007,51.939956
