#{"t_start": 1750002957.066308, "env_id": "None"}
r,l,t
19930.41217,2007,6.271871
4792.830505,2007,8.332876
4486.029175,2007,10.4186
1847.880859,2007,12.640014
3839.150757,2007,16.015399
3839.150757,2007,17.756824
3839.150757,2007,19.12642
3839.150757,2007,20.647308
3839.150757,2007,21.919382
1516.779663,2007,24.096112
2064.280151,2007,26.318589
2575.057983,2007,28.595473
1703.96875,2007,30.845287
445.679932,2007,34.395355
445.679932,2007,35.47315
445.679932,2007,36.559409
445.679932,2007,37.603984
445.679932,2007,38.667758
3097.329956,2007,40.985629
2166.249329,2007,43.600125
2223.87915,2007,46.107209
1428.659912,2007,48.566739
2286.179932,2007,52.424508
2286.179932,2007,53.826207
2286.179932,2007,55.068285
2286.179932,2007,56.256036
2286.179932,2007,57.44934
2335.689575,2007,60.015818
2910.520691,2007,62.581876
3206.980591,2007,65.199724
1797.518921,2007,67.70046
2343.049866,2007,71.376784
2343.049866,2007,72.536201
2343.049866,2007,73.692631
2343.049866,2007,74.883839
2343.049866,2007,76.02526
1575.150146,2007,78.517725
1626.298706,2007,81.0567
1642.430664,2007,83.641579
1193.210449,2007,86.131879
776.659302,2007,90.340721
776.659302,2007,91.702479
776.659302,2007,92.796724
776.659302,2007,93.848467
776.659302,2007,94.910593
2388.769775,2007,97.422645
1620.570557,2007,100.015002
1905.129761,2007,102.575066
2282.220825,2007,105.115893
82.680054,2007,108.844384
82.680054,2007,109.862506
82.680054,2007,110.877151
82.680054,2007,111.910002
82.680054,2007,112.928985
2515.449951,2007,115.593511
2071.640015,2007,118.177378
1443.270264,2007,120.738662
2034.649414,2007,123.368276
646.219971,2007,127.066724
646.219971,2007,128.114286
646.219971,2007,129.178236
646.219971,2007,130.227322
646.219971,2007,131.257325
2865.148804,2007,133.95607
2086.229736,2007,136.616703
2947.179932,2007,139.289518
2406.609985,2007,141.928986
10219.921204,2007,145.873103
10219.921204,2007,147.097119
10219.921204,2007,148.304557
10219.921204,2007,149.513927
10219.921204,2007,150.756072
